Age9,Educ6,IMD10,NSSEC5,Motiva_POP,motivd_POP,inclus_a,comm1,happy,lifesat,lone,worthw,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,Gend3_2.0,Gend3_3.0,HHLiv12_2.0,HHLiv12_3.0,HHLiv12_4.0,HHLiv12_5.0,HHLiv12_6.0,HHLiv12_7.0,HHLiv12_8.0,HHLiv12_9.0,HHLiv12_10.0,HHLiv12_11.0,HHLiv12_12.0,WorkStat10_2.0,WorkStat10_3.0,WorkStat10_4.0,WorkStat10_5.0,WorkStat10_6.0,WorkStat10_7.0,WorkStat10_8.0,WorkStat10_9.0,WorkStat10_10.0,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lifesat,PERTURBED_PREDS_lifesat,DIFFERENCE_lifesat,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw
5.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,3.0,5.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7165719345434778,0.6807869409386009,-0.03578499360487686,0.7165719345434778,0.7003096781874976,-0.01626225635598022,0.7165719345434778,0.7330456115577232,0.016473677014245403,0.7165719345434778,0.7342288117497613,0.017656877206283506,0.7165719345434778,0.6993277858541296,-0.017244148689348204,0.7165719345434778,0.7153524654788785,-0.0012194690645992434
5.0,1.0,8.0,1.0,3.0,5.0,2.0,3.0,6.0,8.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6103742355189068,0.5692411905152989,-0.041133045003607926,0.6103742355189068,0.5914923811149647,-0.018881854403942078,0.6103742355189068,0.6298318217065866,0.019457586187679787,0.6103742355189068,0.6312423602600912,0.02086812474118438,0.6103742355189068,0.590362508981809,-0.020011726537097818,0.6103742355189068,0.6089471987566136,-0.0014270367622931657
3.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,10.0,10.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8185457899414239,0.7918966955666457,-0.02664909437477825,0.8185457899414239,0.8065549710509352,-0.011990818890488697,,,,,,,0.8185457899414239,0.8058246589548339,-0.012721130986590001,0.8185457899414239,0.8176534215795978,-0.0008923683618261569
6.0,1.0,6.0,4.0,2.0,5.0,2.0,3.0,9.0,9.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6203749456251347,0.579570453285426,-0.04080449233970873,0.6203749456251347,0.6016614518676571,-0.01871349375747766,0.6203749456251347,0.6396279722511264,0.01925302662599171,0.6203749456251347,0.6410224579440885,0.020647512318953787,,,,0.6203749456251347,0.6189616712634586,-0.0014132743616761534
3.0,1.0,7.0,1.0,1.0,2.0,2.0,3.0,7.0,6.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8829953358050587,0.8642417089117835,-0.0187536268932752,0.8829953358050587,0.8746110522475339,-0.008384283557524852,0.8829953358050587,0.8912638247515741,0.008268488946515329,0.8829953358050587,0.8918492281481121,0.008853892343053338,0.8829953358050587,0.8740975651502882,-0.008897770654770487,0.8829953358050587,0.8823743753855137,-0.0006209604195450691
4.0,1.0,5.0,2.0,1.0,4.0,2.0,4.0,8.0,7.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8056945438190158,0.7776707060055482,-0.028023837813467622,0.8056945438190158,0.793069180312883,-0.012625363506132858,0.8056945438190158,0.8183016414036473,0.01260709758463141,0.8056945438190158,0.8192001676775624,0.01350562385854659,0.8056945438190158,0.7923010661281359,-0.013393477690879951,0.8056945438190158,0.8047540498310967,-0.0009404939879191776
4.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,8.0,7.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846104296116046,0.8226255150000366,-0.02347878111600943,0.846104296116046,0.8355687630517357,-0.01053553306431032,0.846104296116046,0.8565562888852913,0.010451992769245355,0.846104296116046,0.8572986297808406,0.011194333664794609,0.846104296116046,0.8349255683598894,-0.011178727756156581,0.846104296116046,0.8453218463840331,-0.0007824497320129131
5.0,1.0,5.0,1.0,3.0,5.0,2.0,3.0,9.0,9.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6202776524710873,0.5794697913419957,-0.04080786112909163,0.6202776524710873,0.6015624429458079,-0.018715209525279497,0.6202776524710873,0.6395327463390286,0.01925509386794122,0.6202776524710873,0.6409273936572603,0.02064974118617291,,,,0.6202776524710873,0.6188642384301407,-0.0014134140409466367
5.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36426610845006735,0.3258478954469069,-0.03841821300316045,0.36426610845006735,0.3462321691544979,-0.018033939295569457,0.36426610845006735,0.38360240894983316,0.019336300499765813,0.36426610845006735,0.3850350948709297,0.020768986420862334,0.36426610845006735,0.34517493019264944,-0.019091178257417907,0.36426610845006735,0.3628785715395887,-0.0013875369104786595
5.0,1.0,7.0,1.0,1.0,4.0,3.0,4.0,8.0,8.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8020724394569325,0.7736729482856296,-0.028399491171302915,0.8020724394569325,0.7892732786967869,-0.012799160760145645,0.8020724394569325,0.8148605463868642,0.012788106929931708,0.8020724394569325,0.8157722583518383,0.01369981889490579,,,,0.8020724394569325,0.8011187411306508,-0.0009536983262816712
5.0,1.0,9.0,1.0,1.0,5.0,1.0,3.0,10.0,10.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8579762780903176,0.8359575618142906,-0.02201871627602703,0.8579762780903176,0.8481075846352226,-0.009868693455095001,,,,,,,0.8579762780903176,0.8475044858402311,-0.010471792250086542,0.8579762780903176,0.8572440047839499,-0.0007322733063677145
6.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,10.0,10.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.706260312679774,0.6697733775698229,-0.036486935109951046,0.706260312679774,0.6896626416797319,-0.016597671000042058,,,,,,,,,,,,
